|citation|section_title|text
2409|151.321.1|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|(1)
2410|151.321.1|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|sells the item at a sale that may last for one day only and the primary purpose of which is to raise funds for the organization;  and
2411|151.321.2|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|(2)
2412|151.321.2|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|holds not more than one sale described by Subdivision
2413|151.321.1|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|(1)
2414|151.321.1|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|each month for which an exemption is claimed for an item sold.
2415|151.321.b|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|(b)
2416|151.321.b|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|In each calendar year, the first $5,000 of a qualified student organization's total receipts from sales of taxable items not otherwise exempt under Subsection
2417|151.321.a|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|(a)
2418|151.321.a|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|is exempt from the taxes imposed by Subchapter C.
2419|151.321.c|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|(c)
2420|151.321.c|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|A student organization qualifies for the exemptions under Subsections
2421|151.321.a|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|(a)
2422|151.321.a|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|and
2423|151.321.b|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|(b)
2424|151.321.b|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|if the student organization:
2425|151.321.1|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|(1)
2426|151.321.1|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|is affiliated with an institution of higher education as defined by Section 61.003, Education Code, or a private or independent college or university that is located in this state and that is accredited by a recognized accrediting agency under Section 61.003, Education Code;
2427|151.321.2|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|(2)
2428|151.321.2|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|has as its primary purpose a purpose other than engaging in business or performing an activity designed to make a profit;  and
2429|151.321.3|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|(3)
2430|151.321.3|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|files a certification with the comptroller as required by Subsection (d).
2431|151.321.d|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|(d)
2432|151.321.d|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|A student organization must file with the comptroller a certification issued by the institution, college, or university described in Subsection (c)
2433|151.321.1|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|(1)
2434|151.321.1|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|showing that the organization is affiliated with the institution, college, or university.
2435|151.321.e|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|(e)
2436|151.321.e|  UNIVERSITY AND COLLEGE STUDENT ORGANIZATIONS|The storage, use, or consumption of a taxable item acquired tax-free under this section is exempted from the use tax imposed by Subchapter D  until the item is resold or subsequently transferred.
2437|151.322.e|  CONTAINERS|
2438|151.322.a|  CONTAINERS|(a)
2439|151.322.a|  CONTAINERS|The following are exempted from the taxes imposed by this chapter:
2440|151.322.1|  CONTAINERS|(1)
2441|151.322.1|  CONTAINERS|a container sold with its contents if the sales price of the contents is not taxed under this chapter;
2442|151.322.2|  CONTAINERS|(2)
2443|151.322.2|  CONTAINERS|a nonreturnable container sold without contents to a person who fills the container and sells the contents and the container together;  and
2444|151.322.3|  CONTAINERS|(3)
2445|151.322.3|  CONTAINERS|a returnable container sold with its contents or resold for refilling.
2446|151.322.b|  CONTAINERS|(b)
2447|151.322.b|  CONTAINERS|In this section:
2448|151.322.1|  CONTAINERS|(1)
2449|151.322.1|  CONTAINERS|Returnable container means a container of a kind customarily returned for reuse by the buyer of the contents.
2450|151.322.2|  CONTAINERS|(2)
2451|151.322.2|  CONTAINERS|Nonreturnable container means a container other than a returnable container.
2452|151.322.3|  CONTAINERS|(3)
2453|151.322.3|  CONTAINERS|Container means glass, plastic, or metal bottles, cans, barrels, and cylinders, but does not include any item of a type described in Section 151.302(d).
2454|151.323.3|  CERTAIN TELECOMMUNICATIONS SERVICES|
2455|151.323.a|  CERTAIN TELECOMMUNICATIONS SERVICES|(a)
2456|151.323.a|  CERTAIN TELECOMMUNICATIONS SERVICES|There are exempted from the taxes imposed by this chapter the receipts from the sale, use, or other consumption in this state of:
2457|151.323.1|  CERTAIN TELECOMMUNICATIONS SERVICES|(1)
2458|151.323.1|  CERTAIN TELECOMMUNICATIONS SERVICES|long-distance telecommunications services that are not both originated from and billed to a telephone number or billing or service address within Texas;
2459|151.323.2|  CERTAIN TELECOMMUNICATIONS SERVICES|(2)
2460|151.323.2|  CERTAIN TELECOMMUNICATIONS SERVICES|access to a local exchange telephone company's network by a regulated provider of telecommunications services;  and
2461|151.323.3|  CERTAIN TELECOMMUNICATIONS SERVICES|(3)
2462|151.323.3|  CERTAIN TELECOMMUNICATIONS SERVICES|broadcasts, other than cable television service, by commercial radio or television stations licensed or regulated by the Federal Communications Commission.
2463|151.323.b|  CERTAIN TELECOMMUNICATIONS SERVICES|(b)
2464|151.323.b|  CERTAIN TELECOMMUNICATIONS SERVICES|The exemption provided by this section does not apply to mobile telecommunications services.
2465|151.324.b|  EQUIPMENT USED ELSEWHERE FOR MINERAL EXPLORATION OR PRODUCTION|
2466|151.324.a|  EQUIPMENT USED ELSEWHERE FOR MINERAL EXPLORATION OR PRODUCTION|(a)
2467|151.324.a|  EQUIPMENT USED ELSEWHERE FOR MINERAL EXPLORATION OR PRODUCTION|The following items are exempted from the sales tax imposed by Subchapter C of this chapter:
2468|151.324.1|  EQUIPMENT USED ELSEWHERE FOR MINERAL EXPLORATION OR PRODUCTION|(1)
2469|151.324.1|  EQUIPMENT USED ELSEWHERE FOR MINERAL EXPLORATION OR PRODUCTION|drill pipe, casing, tubing, and other pipe used for the exploration for or production of oil, gas, sulphur, or other minerals offshore not in this state;  and
2470|151.324.2|  EQUIPMENT USED ELSEWHERE FOR MINERAL EXPLORATION OR PRODUCTION|(2)
2471|151.324.2|  EQUIPMENT USED ELSEWHERE FOR MINERAL EXPLORATION OR PRODUCTION|tangible personal property exclusively used for the exploration for or production of oil, gas, sulphur, or other minerals offshore not in this state.
2472|151.324.b|  EQUIPMENT USED ELSEWHERE FOR MINERAL EXPLORATION OR PRODUCTION|(b)
2473|151.324.b|  EQUIPMENT USED ELSEWHERE FOR MINERAL EXPLORATION OR PRODUCTION|Drilling equipment that is used for the exploration for or production of oil, gas, sulphur, or other minerals, that is built for exclusive use outside this state, and that is, on completion, removed forthwith from this state is exempted from the taxes imposed by this chapter.
2474|151.324.c|  EQUIPMENT USED ELSEWHERE FOR MINERAL EXPLORATION OR PRODUCTION|(c)
2475|151.324.c|  EQUIPMENT USED ELSEWHERE FOR MINERAL EXPLORATION OR PRODUCTION|The delivery of items exempted by this section to the purchaser or lessee in this state does not disqualify the purchaser or lessee from the exemption if the property is removed from the state by any means, including by the use of the purchaser's or lessee's own facilities.
2476|151.324.d|  EQUIPMENT USED ELSEWHERE FOR MINERAL EXPLORATION OR PRODUCTION|(d)
2477|151.324.d|  EQUIPMENT USED ELSEWHERE FOR MINERAL EXPLORATION OR PRODUCTION|The shipment to a place in this state of equipment exempted by this section for further assembly or fabrication does not disqualify the purchaser or lessee from the exemption if on completion of the further assembly or fabrication the equipment is removed forthwith from this state.  This section applies to a sale that may occur when the equipment exempted is further assembled or fabricated if on completion the equipment is removed forthwith from the state.
2478|151.325.d|  BASIC FEE FOR INTERNET ACCESS SERVICE|
2479|151.325.a|  BASIC FEE FOR INTERNET ACCESS SERVICE|(a)
2480|151.325.a|  BASIC FEE FOR INTERNET ACCESS SERVICE|The sale, use, or other consumption in this state of Internet access service is exempted from the taxes imposed by this chapter in an amount not to exceed the first $25 of a monthly charge.
2481|151.325.b|  BASIC FEE FOR INTERNET ACCESS SERVICE|(b)
2482|151.325.b|  BASIC FEE FOR INTERNET ACCESS SERVICE|The exemption provided by this section applies without regard to:
2483|151.325.1|  BASIC FEE FOR INTERNET ACCESS SERVICE|(1)
2484|151.325.1|  BASIC FEE FOR INTERNET ACCESS SERVICE|whether the Internet access service is bundled with another service, including any other taxable service listed in Section 151.0101(a);  or
2485|151.325.2|  BASIC FEE FOR INTERNET ACCESS SERVICE|(2)
2486|151.325.2|  BASIC FEE FOR INTERNET ACCESS SERVICE|the billing period used by the service provider.
2487|151.325.c|  BASIC FEE FOR INTERNET ACCESS SERVICE|(c)
2488|151.325.c|  BASIC FEE FOR INTERNET ACCESS SERVICE|The exemption in this section applies to the total sales price the service provider charges for Internet access to a purchaser, without regard to whether the service provider charges one lump-sum amount or separately bills the purchaser for each user.
2489|151.326.c|  CLOTHING AND FOOTWEAR FOR LIMITED PERIOD|
2490|151.326.a|  CLOTHING AND FOOTWEAR FOR LIMITED PERIOD|(a)
2491|151.326.a|  CLOTHING AND FOOTWEAR FOR LIMITED PERIOD|The sale of an article of clothing or footwear designed to be worn on or about the human body is exempted from the taxes imposed by this chapter if:
2492|151.326.1|  CLOTHING AND FOOTWEAR FOR LIMITED PERIOD|(1)
2493|151.326.1|  CLOTHING AND FOOTWEAR FOR LIMITED PERIOD|the sales price of the article is less than $100; and
2494|151.326.2|  CLOTHING AND FOOTWEAR FOR LIMITED PERIOD|(2)
2495|151.326.2|  CLOTHING AND FOOTWEAR FOR LIMITED PERIOD|the sale takes place during a period beginning at 12:01 a.m. on the Friday before the 15th day preceding the uniform date prescribed by Section 25.0811(a), Education Code, without regard to any exception authorized by that section, before which a school district may not begin instruction for the school year, and ending at 12 midnight on the following Sunday.
2496|151.326.b|  CLOTHING AND FOOTWEAR FOR LIMITED PERIOD|(b)
2497|151.326.b|  CLOTHING AND FOOTWEAR FOR LIMITED PERIOD|This section does not apply to:
2498|151.326.1|  CLOTHING AND FOOTWEAR FOR LIMITED PERIOD|(1)
2499|151.326.1|  CLOTHING AND FOOTWEAR FOR LIMITED PERIOD|any special clothing or footwear that is primarily designed for athletic activity or protective use and that is not normally worn except when used for the athletic activity or protective use for which it is designed;
2500|151.326.2|  CLOTHING AND FOOTWEAR FOR LIMITED PERIOD|(2)
2501|151.326.2|  CLOTHING AND FOOTWEAR FOR LIMITED PERIOD|accessories, including jewelry, handbags, luggage, umbrellas, wallets, watches, and similar items carried on or about the human body, without regard to whether worn on the body in a manner characteristic of clothing; and
2502|151.326.3|  CLOTHING AND FOOTWEAR FOR LIMITED PERIOD|(3)
2503|151.326.3|  CLOTHING AND FOOTWEAR FOR LIMITED PERIOD|the rental of clothing or footwear.
2504|121.27.3|, eff|Oct. 1, 2003.Amended by: Acts 2007, 80th Leg., R.S., Ch. 931 (H.B. 3314), Sec. 10(a), eff. June 15, 2007.Acts 2007, 80th Leg., R.S., Ch. 1266 (H.B. 3319), Sec. 7, eff. June 15, 2007.Acts 2011, 82nd Leg., 1st C.S., Ch. 4 (S.B. 1), Sec. 33.01, eff. September 28, 2011.Acts 2013, 83rd Leg., R.S., Ch. 525 (S.B. 485), Sec. 1, eff. June 14, 2013.
2505|151.327.3|  SCHOOL SUPPLIES AND SCHOOL BACKPACKS BEFORE START OF SCHOOL|
2506|151.327.a|  SCHOOL SUPPLIES AND SCHOOL BACKPACKS BEFORE START OF SCHOOL|(a)
2507|151.327.a|  SCHOOL SUPPLIES AND SCHOOL BACKPACKS BEFORE START OF SCHOOL|In this section:
2508|151.327.1|  SCHOOL SUPPLIES AND SCHOOL BACKPACKS BEFORE START OF SCHOOL|(1)
2509|151.327.1|  SCHOOL SUPPLIES AND SCHOOL BACKPACKS BEFORE START OF SCHOOL|Backpack means a messenger bag, book bag, or a pack with straps that a person wears on the person's back, including a backpack with wheels if the backpack can also be worn on the back.  The term does not include an item that is commonly considered luggage, a briefcase, an athletic bag, a duffle bag, a gym bag, a computer bag, a purse, or a framed backpack.
2510|151.327.2|  SCHOOL SUPPLIES AND SCHOOL BACKPACKS BEFORE START OF SCHOOL|(2)
2511|151.327.2|  SCHOOL SUPPLIES AND SCHOOL BACKPACKS BEFORE START OF SCHOOL|School supply has the meaning assigned by the Streamlined Sales and Use Tax Agreement adopted November 12, 2002, including all amendments made to the agreement on or before December 14, 2006.(a-1)  The sale or storage, use, or other consumption of a school supply or a school backpack is exempted from the taxes imposed by this chapter if the school supply or backpack is purchased:
2512|151.327.1|  SCHOOL SUPPLIES AND SCHOOL BACKPACKS BEFORE START OF SCHOOL|(1)
2513|151.327.1|  SCHOOL SUPPLIES AND SCHOOL BACKPACKS BEFORE START OF SCHOOL|for use by a student in a public or private elementary or secondary school;
2514|151.327.2|  SCHOOL SUPPLIES AND SCHOOL BACKPACKS BEFORE START OF SCHOOL|(2)
2515|151.327.2|  SCHOOL SUPPLIES AND SCHOOL BACKPACKS BEFORE START OF SCHOOL|during the period described by Section 151.326(a)(2); and
2516|151.327.3|  SCHOOL SUPPLIES AND SCHOOL BACKPACKS BEFORE START OF SCHOOL|(3)
2517|151.327.3|  SCHOOL SUPPLIES AND SCHOOL BACKPACKS BEFORE START OF SCHOOL|for a sales price of less than $100.
2518|151.327.b|  SCHOOL SUPPLIES AND SCHOOL BACKPACKS BEFORE START OF SCHOOL|(b)
2519|151.327.b|  SCHOOL SUPPLIES AND SCHOOL BACKPACKS BEFORE START OF SCHOOL|A retailer is not required to obtain an exemption certificate stating that school supplies or school backpacks are purchased for use by students in a public or private elementary or secondary school unless the school supplies or backpacks are purchased in a quantity that indicates that the school supplies or backpacks are not purchased for use by students in a public or private elementary or secondary school.
2520|151.328.b|  AIRCRAFT|
2521|151.328.a|  AIRCRAFT|(a)
2522|151.328.a|  AIRCRAFT|Aircraft are exempted from the taxes imposed by this chapter if:
2523|151.328.1|  AIRCRAFT|(1)
2524|151.328.1|  AIRCRAFT|sold to a person using the aircraft as a certificated or licensed carrier of persons or property;
2525|151.328.2|  AIRCRAFT|(2)
2526|151.328.2|  AIRCRAFT|sold to a person who:
2527|151.328.A|  AIRCRAFT|(A)
2528|151.328.A|  AIRCRAFT|has a sales tax permit issued under this chapter; and
2529|151.328.B|  AIRCRAFT|(B)
2530|151.328.B|  AIRCRAFT|uses the aircraft for the purpose of providing flight instruction that is:
2531|151.328.i|  AIRCRAFT|(i)
2532|151.328.i|  AIRCRAFT|recognized by the Federal Aviation Administration;(ii)  under the direct or general supervision of a flight instructor certified by the Federal Aviation Administration; and(iii)  designed to lead to a pilot certificate or rating issued by the Federal Aviation Administration or otherwise required by a rule or regulation of the Federal Aviation Administration;
2533|151.328.3|  AIRCRAFT|(3)
2534|151.328.3|  AIRCRAFT|sold to a foreign government;
2535|151.328.4|  AIRCRAFT|(4)
2536|151.328.4|  AIRCRAFT|sold in this state to a person for use and registration in another state or nation before any use in this state other than flight training in the aircraft and the transportation of the aircraft out of this state; or
2537|151.328.5|  AIRCRAFT|(5)
2538|151.328.5|  AIRCRAFT|sold in this state to a person for use exclusively in connection with an agricultural use, as defined by Section 23.51, and used for:
2539|151.328.A|  AIRCRAFT|(A)
2540|151.328.A|  AIRCRAFT|predator control;
2541|151.328.B|  AIRCRAFT|(B)
2542|151.328.B|  AIRCRAFT|wildlife or livestock capture;
2543|151.328.C|  AIRCRAFT|(C)
2544|151.328.C|  AIRCRAFT|wildlife or livestock surveys;
2545|151.328.D|  AIRCRAFT|(D)
2546|151.328.D|  AIRCRAFT|census counts of wildlife or livestock;
2547|151.328.E|  AIRCRAFT|(E)
2548|151.328.E|  AIRCRAFT|animal or plant health inspection services; or
2549|151.328.F|  AIRCRAFT|(F)
2550|151.328.F|  AIRCRAFT|crop dusting, pollination, or seeding.
2551|151.328.b|  AIRCRAFT|(b)
2552|151.328.b|  AIRCRAFT|Repair, remodeling, and maintenance services to aircraft, including an engine or other component part of aircraft, operated by a person described by Subsection (a)(1), (a)(2), or (a)
2553|151.328.5|  AIRCRAFT|(5)
2554|151.328.5|  AIRCRAFT|are exempted from the taxes imposed by this chapter.
2555|151.328.c|  AIRCRAFT|(c)
2556|151.328.c|  AIRCRAFT|In this section, aircraft does not include a rocket or missile, but does include:
2557|151.328.1|  AIRCRAFT|(1)
2558|151.328.1|  AIRCRAFT|a fixed wing, heavier-than-air craft that is driven by propeller or jet and supported by the dynamic reaction of the air against its wings;
2559|151.328.2|  AIRCRAFT|(2)
2560|151.328.2|  AIRCRAFT|a helicopter;  and
2561|151.328.3|  AIRCRAFT|(3)
2562|151.328.3|  AIRCRAFT|an airplane flight simulation training device approved by the Federal Aviation Administration under Appendices A and B, 14 C.F.R. Part 60.
2563|151.328.d|  AIRCRAFT|(d)
2564|151.328.d|  AIRCRAFT|Machinery, tools, supplies, and equipment used or consumed exclusively in the repair, remodeling, or maintenance of aircraft, aircraft engines, or aircraft component parts by or on behalf of a person described by Subsection (a)
2565|151.328.1|  AIRCRAFT|(1)
2566|151.328.1|  AIRCRAFT|or (a)
2567|151.328.2|  AIRCRAFT|(2)
2568|151.328.2|  AIRCRAFT|are exempted from the taxes imposed by this chapter.
2569|151.328.e|  AIRCRAFT|(e)
2570|151.328.e|  AIRCRAFT|Tangible personal property that is permanently affixed or attached as a component part of an aircraft owned or operated by a person described by Subsection (a)
2571|151.328.1|  AIRCRAFT|(1)
2572|151.328.1|  AIRCRAFT|or (a)(2), or that is necessary for the normal operations of the aircraft and is pumped, poured, or otherwise placed in the aircraft, is exempted from the taxes imposed by this chapter.
2573|151.328.f|  AIRCRAFT|(f)
2574|151.328.f|  AIRCRAFT|To qualify for the exemption provided under Subsection (a)(4), the person purchasing the aircraft in this state must sign at the time of purchase an exemption certificate that:
2575|151.328.1|  AIRCRAFT|(1)
2576|151.328.1|  AIRCRAFT|is designated as an exemption certificate for the purchase of an aircraft for out-of-state registration and use;
2577|151.328.2|  AIRCRAFT|(2)
2578|151.328.2|  AIRCRAFT|is on a form designated by the comptroller;
2579|151.328.3|  AIRCRAFT|(3)
2580|151.328.3|  AIRCRAFT|contains all information the comptroller considers reasonable;
2581|151.328.4|  AIRCRAFT|(4)
2582|151.328.4|  AIRCRAFT|is signed by the purchaser at the time of the purchase;  and
2583|151.328.5|  AIRCRAFT|(5)
2584|151.328.5|  AIRCRAFT|provides that purchaser, by signing the certificate, authorizes the comptroller to provide a copy of the certificate to the state or nation of intended use and registration.
2585|151.328.g|  AIRCRAFT|(g)
2586|151.328.g|  AIRCRAFT|A person commits an offense if the person gives an exemption certificate required under Subsection
2587|151.328.f|  AIRCRAFT|(f)
2588|151.328.f|  AIRCRAFT|to a seller for an aircraft that the person knows, at the time of purchase, will be used in a manner other than that expressed in the exemption certificate or the person gives an exemption certificate with fraudulent intent or intent to evade wrongfully the payment of the tax imposed under this chapter.  An offense under this subsection is a misdemeanor punishable by a fine not to exceed $500.
2589|151.328.h|  AIRCRAFT|(h)
2590|151.328.h|  AIRCRAFT|For purposes of the exemption under Subsection (a)(5), an aircraft is considered to be for use exclusively in connection with an agricultural use if 95 percent of the use of the aircraft is for a purpose described by Subsections (a)(5)(A)-(F).   Travel to a location to perform a service described by Subsections (a)(5)(A)-
2591|151.328.F|  AIRCRAFT|(F)
2592|151.328.F|  AIRCRAFT|does not disqualify an aircraft from the exemption under Subsection (a)(5).  A person who claims an exemption under Subsection (a)
2593|151.328.5|  AIRCRAFT|(5)
2594|151.328.5|  AIRCRAFT|must maintain and make available to the comptroller flight records for all uses of the aircraft.
2595|151.329.5|  CERTAIN SHIPS AND SHIP EQUIPMENT|The following items are exempted from the taxes imposed by this chapter:
2596|151.329.1|  CERTAIN SHIPS AND SHIP EQUIPMENT|(1)
2597|151.329.1|  CERTAIN SHIPS AND SHIP EQUIPMENT|materials, equipment, and machinery that enter into and become component parts of a ship or vessel that is of eight or more tons displacement and is:
2598|151.329.A|  CERTAIN SHIPS AND SHIP EQUIPMENT|(A)
2599|151.329.A|  CERTAIN SHIPS AND SHIP EQUIPMENT|used exclusively and directly in a commercial enterprise, including commercial fishing;  or
2600|151.329.B|  CERTAIN SHIPS AND SHIP EQUIPMENT|(B)
2601|151.329.B|  CERTAIN SHIPS AND SHIP EQUIPMENT|used commercially as a vessel for pleasure fishing by individuals as paying passengers on the vessel;
2602|151.329.2|  CERTAIN SHIPS AND SHIP EQUIPMENT|(2)
2603|151.329.2|  CERTAIN SHIPS AND SHIP EQUIPMENT|a ship or vessel of eight or more tons displacement, that is used exclusively and directly in a commercial enterprise and is sold by the vessel's builder;
2604|151.329.3|  CERTAIN SHIPS AND SHIP EQUIPMENT|(3)
2605|151.329.3|  CERTAIN SHIPS AND SHIP EQUIPMENT|materials and labor used in repairing, renovating, or converting a ship or vessel that is of eight or more tons displacement and that is used exclusively and directly in a commercial enterprise;
2606|151.329.4|  CERTAIN SHIPS AND SHIP EQUIPMENT|(4)
2607|151.329.4|  CERTAIN SHIPS AND SHIP EQUIPMENT|materials and supplies purchased by the owner or operator of a ship or vessel operating exclusively in foreign or interstate coastal commerce if the materials and supplies:
2608|151.329.A|  CERTAIN SHIPS AND SHIP EQUIPMENT|(A)
2609|151.329.A|  CERTAIN SHIPS AND SHIP EQUIPMENT|are loaded on the ship or vessel and used in the maintenance and operation of the ship or vessel;  or
2610|151.329.B|  CERTAIN SHIPS AND SHIP EQUIPMENT|(B)
2611|151.329.B|  CERTAIN SHIPS AND SHIP EQUIPMENT|enter into and become component parts of the ship or vessel;  and
2612|151.329.5|  CERTAIN SHIPS AND SHIP EQUIPMENT|(5)
2613|151.329.5|  CERTAIN SHIPS AND SHIP EQUIPMENT|materials and supplies purchased by a person providing stevedoring services for a ship or vessel operating exclusively in foreign or interstate coastal commerce if the materials and supplies are loaded aboard the ship or vessel and are not removed before the departure of the ship or vessel.
2614|151.3291.5|  BOATS AND BOAT MOTORS|
2615|151.3291.a|  BOATS AND BOAT MOTORS|(a)
2616|151.3291.a|  BOATS AND BOAT MOTORS|The sale, other than the lease or rental, and the storage, use, or other consumption of a taxable boat or motor is exempt from the taxes imposed by this chapter.
2617|151.3291.b|  BOATS AND BOAT MOTORS|(b)
2618|151.3291.b|  BOATS AND BOAT MOTORS|In this section, taxable boat or motor has the meaning assigned by Section 160.001.
2619|151.330.b|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|
2620|151.330.a|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|(a)
2621|151.330.a|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|The sale of tangible personal property that under the sales contract is shipped to a point outside this state is exempted from the sales tax imposed by Subchapter C  of this chapter if the shipment is made by the seller by means of:
2622|151.330.1|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|(1)
2623|151.330.1|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|the facilities of the seller;
2624|151.330.2|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|(2)
2625|151.330.2|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|delivery by the seller to a carrier for shipment to a consignee at a point outside this state;  or
2626|151.330.3|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|(3)
2627|151.330.3|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|delivery by the seller to a forwarding agent for shipment to a location in another state of the United States or its territories or possessions.
2628|151.330.b|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|(b)
2629|151.330.b|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|The temporary storage of tangible personal property acquired outside this state and then moved into this state is exempted from the use tax imposed by Subchapter D  of this chapter if after being moved into this state the property is stored here temporarily and:
2630|151.330.1|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|(1)
2631|151.330.1|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|is used solely outside this state;  or
2632|151.330.2|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|(2)
2633|151.330.2|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|is physically attached to or incorporated into other tangible personal property that is used solely outside this state.
2634|151.330.c|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|(c)
2635|151.330.c|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|The storage, use, or other consumption of tangible personal property that is acquired outside this state is exempted from the use tax imposed by Subchapter D of this chapter if the sale, use, or storage of the property would be exempted from the taxes imposed by this chapter had it been sold, leased, or rented in this state.
2636|151.330.d|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|(d)
2637|151.330.d|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|If, pursuant to Subdivision
2638|151.330.2|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|(2)
2639|151.330.2|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|of Subsection
2640|151.330.a|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|(a)
2641|151.330.a|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|of this section a delivery is made to a carrier for shipment to a location outside the United States, then the seller must maintain the same documents required by Subsection
2642|151.330.b|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|(b)
2643|151.330.b|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|of Section 151.307 of this chapter.
2644|151.330.e|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|(e)
2645|151.330.e|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|Services performed for use outside this state are exempt from the tax imposed by Subchapter C of this chapter.
2646|151.330.f|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|(f)
2647|151.330.f|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|Services performed for use both within and outside this state are exempt to the extent the services are for use outside this state and made taxable on or after September 1, 1987.
2648|151.330.g|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|(g)
2649|151.330.g|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|The exemption provided by Subsections
2650|151.330.e|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|(e)
2651|151.330.e|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|and
2652|151.330.f|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|(f)
2653|151.330.f|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|of this section do not apply to services performed outside this state for use within this state.
2654|151.330.h|  INTERSTATE SHIPMENTS, COMMON CARRIERS, AND SERVICES ACROSS STATE LINES|(h)
